Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1753910817,100,,Aggregated,1939.700000,0.000000,35,37,38,39,41,48,53,55,64,73,73,38066,0,31,30.039313528123966,5.704978997528087,177.60040100256447,52.96963169232386
1753910818,100,GET,/get,1629.400000,0.000000,35,37,38,39,42,47,51,53,59,68,68,43444,0,32,30.602279788952618,5.704978997528087,177.60040100256447,53.82791639812172
1753910818,100,POST,/put,14.400000,0.000000,55,57,60,60,62,65,73,74,75,75,75,395,0,53,50.39334755445775,21.71207599894842,134.31985100032762,0.0
1753910818,100,,Aggregated,1643.800000,0.000000,35,37,38,39,42,48,52,55,63,74,75,43839,0,32,30.780602099392514,5.704978997528087,177.60040100256447,53.34291384383768
1753910819,100,GET,/get,1629.400000,0.000000,35,37,38,39,42,48,51,53,60,63,63,43444,0,32,30.602279788952618,5.704978997528087,177.60040100256447,53.82791639812172
1753910819,100,POST,/put,14.400000,0.000000,55,57,59,60,62,67,74,75,75,75,75,395,0,53,50.39334755445775,21.71207599894842,134.31985100032762,0.0
1753910819,100,,Aggregated,1643.800000,0.000000,35,37,39,40,43,49,52,55,62,75,75,43839,0,32,30.780602099392514,5.704978997528087,177.60040100256447,53.34291384383768
1753910820,100,GET,/get,1629.400000,0.000000,35,37,38,39,42,48,51,53,60,63,63,43444,0,32,30.602279788952618,5.704978997528087,177.60040100256447,53.82791639812172
1753910820,100,POST,/put,14.400000,0.000000,55,57,59,60,62,67,74,75,75,75,75,395,0,53,50.39334755445775,21.71207599894842,134.31985100032762,0.0
1753910820,100,,Aggregated,1643.800000,0.000000,35,37,39,40,43,49,52,55,62,75,75,43839,0,32,30.780602099392514,5.704978997528087,177.60040100256447,53.34291384383768
1753910821,100,GET,/get,1272.900000,0.000000,35,36,38,39,41,47,51,53,59,63,63,49296,0,32,31.058229379467008,5.704978997528087,177.60040100256447,54.102969814995134
1753910821,100,POST,/put,11.800000,0.000000,55,57,59,59,61,67,74,75,76,76,76,461,0,54,51.205403184437536,21.71207599894842,134.31985100032762,0.0
1753910821,100,,Aggregated,1284.700000,0.000000,35,37,38,39,42,48,52,55,62,75,76,49757,0,32,31.24489350962139,5.704978997528087,177.60040100256447,53.60170428281448
1753910822,100,GET,/get,1272.900000,0.000000,35,36,38,39,41,47,51,53,59,63,63,49296,0,32,31.058229379467008,5.704978997528087,177.60040100256447,54.102969814995134
1753910822,100,POST,/put,11.800000,0.000000,55,57,59,59,61,67,74,75,76,76,76,461,0,54,51.205403184437536,21.71207599894842,134.31985100032762,0.0
1753910822,100,,Aggregated,1284.700000,0.000000,35,37,38,39,42,48,52,55,62,75,76,49757,0,32,31.24489350962139,5.704978997528087,177.60040100256447,53.60170428281448
1753910823,100,GET,/get,1272.900000,0.000000,35,36,38,39,41,47,51,53,59,63,63,49296,0,32,31.058229379467008,5.704978997528087,177.60040100256447,54.102969814995134
1753910823,100,POST,/put,11.800000,0.000000,55,57,59,59,61,67,74,75,76,76,76,461,0,54,51.205403184437536,21.71207599894842,134.31985100032762,0.0
1753910823,100,,Aggregated,1284.700000,0.000000,35,37,38,39,42,48,52,55,62,75,76,49757,0,32,31.24489350962139,5.704978997528087,177.60040100256447,53.60170428281448
1753910824,100,GET,/get,1255.500000,0.000000,34,36,38,38,41,44,50,52,60,64,64,55084,0,33,31.45482686563975,5.704978997528087,177.60040100256447,54.37622540120543
1753910824,100,POST,/put,13.000000,0.000000,56,57,59,59,61,64,69,74,76,76,76,514,0,54,51.72113247279391,21.71207599894842,134.31985100032762,0.0
1753910824,100,,Aggregated,1268.500000,0.000000,34,36,38,38,41,46,52,54,63,74,76,55598,0,33,31.6421875815302,5.704978997528087,177.60040100256447,53.873520630238495
1753910825,100,GET,/get,1255.500000,0.000000,34,36,38,38,41,44,50,52,60,64,64,55084,0,33,31.45482686563975,5.704978997528087,177.60040100256447,54.37622540120543
1753910825,100,POST,/put,13.000000,0.000000,56,57,59,59,61,64,69,74,76,76,76,514,0,54,51.72113247279391,21.71207599894842,134.31985100032762,0.0
1753910825,100,,Aggregated,1268.500000,0.000000,34,36,38,38,41,46,52,54,63,74,76,55598,0,33,31.6421875815302,5.704978997528087,177.60040100256447,53.873520630238495
